date,browser_version,visits
2016-03-31,9.0,42
2016-03-31,6.0,2
2016-04-01,11.0,2121
2016-04-01,7.0,135
2016-04-01,8.0,69
2016-04-01,10.0,51
2016-04-01,9.0,49
2016-04-01,6.0,1
2016-04-02,11.0,1268
2016-04-02,9.0,27
2016-04-02,10.0,15
2016-04-02,8.0,15
2016-04-02,7.0,9
2016-04-02,6.0,1
2016-04-03,11.0,745
2016-04-03,9.0,23
2016-04-03,8.0,19
2016-04-03,10.0,12
2016-04-03,7.0,6
2016-04-03,6.0,1
2016-04-03,9.10,1
2016-04-04,11.0,2474
2016-04-04,7.0,165
2016-04-04,10.0,95
2016-04-04,8.0,94
2016-04-04,9.0,68
2016-04-05,11.0,3523
2016-04-05,7.0,197
2016-04-05,10.0,114
2016-04-05,9.0,90
2016-04-05,8.0,86
2016-04-05,6.0,1
2016-04-06,11.0,3597
2016-04-06,7.0,194
2016-04-06,10.0,113
2016-04-06,9.0,89
2016-04-06,8.0,87
2016-04-07,11.0,2424
2016-04-07,7.0,172
2016-04-07,10.0,73
2016-04-07,8.0,72
2016-04-07,9.0,49
2016-04-07,6.0,2
2016-04-08,11.0,2061
2016-04-08,7.0,153
2016-04-08,8.0,80
2016-04-08,9.0,51
2016-04-08,10.0,50
2016-04-08,6.0,1
2016-04-09,11.0,1178
2016-04-09,10.0,30
2016-04-09,9.0,27
2016-04-09,8.0,12
2016-04-09,7.0,10
2016-04-10,11.0,751
2016-04-10,9.0,21
2016-04-10,10.0,9
2016-04-10,7.0,8
2016-04-10,8.0,7
2016-04-10,6.0,3
2016-04-11,11.0,2264
2016-04-11,7.0,157
2016-04-11,8.0,69
2016-04-11,10.0,64
2016-04-11,9.0,58
2016-04-11,6.0,2
2016-04-12,11.0,2541
2016-04-12,7.0,181
2016-04-12,8.0,80
2016-04-12,10.0,69
2016-04-12,9.0,68
2016-04-13,11.0,2574
2016-04-13,7.0,147
2016-04-13,8.0,95
2016-04-13,9.0,61
2016-04-13,10.0,53
2016-04-14,11.0,2576
2016-04-14,7.0,170
2016-04-14,8.0,66
2016-04-14,10.0,62
2016-04-14,9.0,52
2016-04-14,6.0,1
2016-04-15,11.0,2265
2016-04-15,7.0,135
2016-04-15,8.0,57
2016-04-15,10.0,54
2016-04-15,9.0,48
2016-04-16,11.0,1180
2016-04-16,9.0,27
2016-04-16,8.0,16
2016-04-16,10.0,13
2016-04-16,7.0,13
2016-04-16,6.0,1
2016-04-17,11.0,753
2016-04-17,10.0,16
2016-04-17,9.0,15
2016-04-17,8.0,12
2016-04-17,7.0,5
2016-04-18,11.0,2402
2016-04-18,7.0,172
2016-04-18,10.0,68
2016-04-18,9.0,62
2016-04-18,8.0,56
2016-04-19,11.0,2636
2016-04-19,7.0,162
2016-04-19,10.0,67
2016-04-19,8.0,63
2016-04-19,9.0,49
2016-04-20,11.0,2526
2016-04-20,7.0,167
2016-04-20,10.0,76
2016-04-20,8.0,67
2016-04-20,9.0,62
2016-04-21,11.0,2327
2016-04-21,7.0,146
2016-04-21,10.0,82
2016-04-21,8.0,66
2016-04-21,9.0,53
2016-04-21,6.0,2
2016-04-22,11.0,2125
2016-04-22,7.0,168
2016-04-22,8.0,66
2016-04-22,10.0,48
2016-04-22,9.0,37
2016-04-23,11.0,1082
2016-04-23,9.0,19
2016-04-23,10.0,17
2016-04-23,8.0,16
2016-04-23,7.0,6
2016-04-23,6.0,2
2016-04-24,11.0,721
2016-04-24,10.0,16
2016-04-24,8.0,15
2016-04-24,9.0,13
2016-04-24,7.0,3
2016-04-24,6.0,1
2016-04-25,11.0,2311
2016-04-25,7.0,149
2016-04-25,10.0,81
2016-04-25,9.0,52
2016-04-25,8.0,32
2016-04-25,6.0,1
