date,os,visits
2016-02-12,BlackBerry,10
2016-02-12,Chrome OS,67
2016-02-12,Linux,31
2016-02-12,Macintosh,930
2016-02-12,Windows,5002
2016-02-12,Windows Phone,67
2016-02-12,Xbox,2
2016-02-12,iOS,2186
2016-02-13,(not set),6
2016-02-13,Android,1428
2016-02-13,BlackBerry,9
2016-02-13,Chrome OS,37
2016-02-13,Linux,25
2016-02-13,Macintosh,712
2016-02-13,Playstation 3,1
2016-02-13,Playstation Vita,1
2016-02-13,Windows,2239
2016-02-13,Windows Phone,57
2016-02-13,Xbox,1
2016-02-13,iOS,2072
2016-02-14,(not set),5
2016-02-14,Android,1203
2016-02-14,BlackBerry,3
2016-02-14,Chrome OS,28
2016-02-14,Linux,21
2016-02-14,Macintosh,671
2016-02-14,Windows,2064
2016-02-14,Windows Phone,37
2016-02-14,iOS,1992
2016-02-15,(not set),10
2016-02-15,Android,1513
2016-02-15,BlackBerry,5
2016-02-15,Chrome OS,40
2016-02-15,Linux,31
2016-02-15,Macintosh,1047
2016-02-15,Windows,3433
2016-02-15,Windows Phone,46
2016-02-15,iOS,2301
2016-02-16,(not set),8
2016-02-16,Android,1547
2016-02-16,BlackBerry,6
2016-02-16,Chrome OS,88
2016-02-16,Linux,28
2016-02-16,Macintosh,1098
2016-02-16,Nokia,1
2016-02-16,Windows,6189
2016-02-16,Windows Phone,54
2016-02-16,Xbox,2
2016-02-16,iOS,2074
2016-02-17,(not set),7
2016-02-17,Android,1533
2016-02-17,BlackBerry,3
2016-02-17,Chrome OS,99
2016-02-17,Linux,40
2016-02-17,Macintosh,1055
2016-02-17,Playstation 3,1
2016-02-17,Windows,5996
2016-02-17,Windows Phone,63
2016-02-17,iOS,2133
2016-02-18,(not set),10
2016-02-18,Android,1440
2016-02-18,BlackBerry,8
2016-02-18,Chrome OS,97
2016-02-18,Linux,40
2016-02-18,Macintosh,992
2016-02-18,Windows,5808
2016-02-18,Windows Phone,62
2016-02-18,Xbox,5
2016-02-18,iOS,2175
2016-02-19,(not set),10
2016-02-19,Android,1461
2016-02-19,BlackBerry,2
2016-02-19,Chrome OS,88
2016-02-19,Linux,46
2016-02-19,Macintosh,843
2016-02-19,Nintendo 3DS,1
2016-02-19,Playstation Vita,2
2016-02-19,Windows,5076
2016-02-19,Windows Phone,54
2016-02-19,Xbox,3
2016-02-19,iOS,2298
2016-02-20,(not set),4
2016-02-20,Android,1502
2016-02-20,BlackBerry,6
2016-02-20,Chrome OS,33
2016-02-20,Linux,28
2016-02-20,Macintosh,765
2016-02-20,Windows,2694
2016-02-20,Windows Phone,51
2016-02-20,iOS,2086
2016-02-21,(not set),1
2016-02-21,Android,1249
2016-02-21,BlackBerry,3
2016-02-21,Chrome OS,42
2016-02-21,Linux,30
2016-02-21,Macintosh,885
2016-02-21,Nintendo 3DS,2
2016-02-21,Playstation Vita,1
2016-02-21,Windows,2222
2016-02-21,Windows Phone,54
2016-02-21,Xbox,1
2016-02-21,iOS,2047
2016-02-22,(not set),5
2016-02-22,Android,1479
2016-02-22,BlackBerry,7
2016-02-22,Chrome OS,126
2016-02-22,Linux,43
2016-02-22,Macintosh,1125
2016-02-22,Windows,5626
2016-02-22,Windows Phone,59
2016-02-22,iOS,2167
2016-02-23,(not set),6
2016-02-23,Android,1483
2016-02-23,BlackBerry,2
2016-02-23,Chrome OS,103
2016-02-23,Linux,25
2016-02-23,Macintosh,1115
2016-02-23,Playstation 3,1
2016-02-23,Windows,5993
2016-02-23,Windows Phone,66
2016-02-23,Xbox,1
2016-02-23,iOS,2185
2016-02-24,(not set),6
2016-02-24,Android,1451
2016-02-24,BlackBerry,8
2016-02-24,Chrome OS,102
2016-02-24,Linux,24
2016-02-24,Macintosh,1080
2016-02-24,Playstation 3,1
2016-02-24,Windows,5839
2016-02-24,Windows Phone,56
2016-02-24,Xbox,2
2016-02-24,iOS,2119
2016-02-25,(not set),4
2016-02-25,Android,1413
2016-02-25,BlackBerry,2
2016-02-25,Chrome OS,102
2016-02-25,Linux,37
2016-02-25,Macintosh,1034
2016-02-25,Nintendo Wii,1
2016-02-25,Windows,5532
2016-02-25,Windows Phone,43
2016-02-25,iOS,2075
2016-02-26,(not set),6
2016-02-26,Android,1447
2016-02-26,BlackBerry,3
2016-02-26,Chrome OS,72
2016-02-26,Linux,25
2016-02-26,Macintosh,904
2016-02-26,Windows,4963
2016-02-26,Windows Phone,48
2016-02-26,iOS,2151
2016-02-27,(not set),10
2016-02-27,Android,1359
2016-02-27,BlackBerry,3
2016-02-27,Chrome OS,39
2016-02-27,Google TV,1
2016-02-27,Linux,22
2016-02-27,Macintosh,703
2016-02-27,Windows,2673
2016-02-27,Windows Phone,66
2016-02-27,iOS,2172
2016-02-28,(not set),1
2016-02-28,Android,1185
2016-02-28,BlackBerry,5
2016-02-28,Chrome OS,43
2016-02-28,Google TV,1
2016-02-28,Linux,30
2016-02-28,Macintosh,819
2016-02-28,Windows,2177
2016-02-28,Windows Phone,55
2016-02-28,Xbox,1
2016-02-28,iOS,1976
2016-02-29,(not set),4
2016-02-29,Android,1497
2016-02-29,BlackBerry,3
2016-02-29,Chrome OS,114
2016-02-29,Google TV,1
2016-02-29,Linux,31
2016-02-29,Macintosh,1170
2016-02-29,Windows,5815
2016-02-29,Windows Phone,63
2016-02-29,Xbox,2
2016-02-29,iOS,2201
2016-03-01,(not set),3
2016-03-01,Android,1769
2016-03-01,BlackBerry,6
2016-03-01,Chrome OS,117
2016-03-01,Linux,35
2016-03-01,Macintosh,1243
2016-03-01,Playstation 3,1
2016-03-01,UNIX,1
2016-03-01,Windows,6192
2016-03-01,Windows Phone,55
2016-03-01,Xbox,2
2016-03-01,iOS,2736
2016-03-02,(not set),7
2016-03-02,Android,1453
2016-03-02,BlackBerry,1
2016-03-02,Chrome OS,106
2016-03-02,Google TV,1
2016-03-02,Linux,29
2016-03-02,Macintosh,1130
2016-03-02,Playstation 3,1
2016-03-02,Windows,5747
2016-03-02,Windows Phone,48
2016-03-02,Xbox,4
2016-03-02,iOS,2127
2016-03-03,(not set),8
2016-03-03,Android,1475
2016-03-03,BlackBerry,1
2016-03-03,Chrome OS,124
2016-03-03,Linux,24
2016-03-03,Macintosh,993
2016-03-03,Windows,5619
2016-03-03,Windows Phone,69
2016-03-03,iOS,1990
2016-03-04,(not set),6
2016-03-04,Android,1632
2016-03-04,BlackBerry,4
2016-03-04,Chrome OS,97
2016-03-04,Linux,22
2016-03-04,Macintosh,996
2016-03-04,Windows,5220
2016-03-04,Windows Phone,74
2016-03-04,iOS,2220
2016-03-05,(not set),6
2016-03-05,Android,1574
2016-03-05,BlackBerry,5
2016-03-05,Chrome OS,41
2016-03-05,Linux,22
2016-03-05,Macintosh,785
2016-03-05,Windows,2683
2016-03-05,Windows Phone,70
2016-03-05,Xbox,1
2016-03-05,iOS,2245
2016-03-06,(not set),3
2016-03-06,Android,1235
2016-03-06,BlackBerry,5
2016-03-06,Chrome OS,40
2016-03-06,Linux,25
2016-03-06,Macintosh,835
2016-03-06,Samsung,2
2016-03-06,Windows,2126
2016-03-06,Windows Phone,42
2016-03-06,iOS,1879
2016-03-07,(not set),12
2016-03-07,Android,1493
2016-03-07,BlackBerry,4
2016-03-07,Chrome OS,104
2016-03-07,Linux,27
2016-03-07,Macintosh,1130
2016-03-07,Windows,5998
2016-03-07,Windows Phone,75
2016-03-07,Xbox,2
2016-03-07,iOS,2286
2016-03-08,(not set),8
2016-03-08,Android,1571
2016-03-08,BlackBerry,4
2016-03-08,Chrome OS,120
2016-03-08,Linux,34
2016-03-08,Macintosh,1199
2016-03-08,Nintendo Wii,1
2016-03-08,Playstation Vita,2
2016-03-08,Windows,6620
2016-03-08,Windows Phone,49
2016-03-08,Xbox,4
2016-03-08,iOS,2238
2016-03-09,(not set),5
2016-03-09,Android,1408
2016-03-09,BlackBerry,1
2016-03-09,Chrome OS,90
2016-03-09,Linux,40
2016-03-09,Macintosh,1085
2016-03-09,Nintendo Wii,1
2016-03-09,Windows,5869
2016-03-09,Windows Phone,49
2016-03-09,iOS,2104
2016-03-10,(not set),7
2016-03-10,Android,1460
2016-03-10,BlackBerry,4
2016-03-10,Chrome OS,122
2016-03-10,Linux,38
2016-03-10,Macintosh,974
2016-03-10,Windows,5814
2016-03-10,Windows Phone,48
2016-03-10,Xbox,3
2016-03-10,iOS,2034
2016-03-11,(not set),7
2016-03-11,Android,1524
2016-03-11,BlackBerry,3
2016-03-11,Chrome OS,89
2016-03-11,Linux,44
2016-03-11,Macintosh,978
2016-03-11,Samsung,1
2016-03-11,Windows,5019
2016-03-11,Windows Phone,59
2016-03-11,Xbox,5
2016-03-11,iOS,2316
2016-03-12,(not set),8
2016-03-12,Android,1430
2016-03-12,BlackBerry,9
2016-03-12,Chrome OS,43
2016-03-12,Linux,32
2016-03-12,Macintosh,716
2016-03-12,Nintendo Wii,1
2016-03-12,UNIX,1
2016-03-12,Windows,2676
2016-03-12,Windows Phone,65
2016-03-12,Xbox,1
2016-03-12,iOS,2318
2016-03-13,(not set),5
2016-03-13,Android,1264
2016-03-13,BlackBerry,10
2016-03-13,Chrome OS,35
2016-03-13,Linux,33
2016-03-13,Macintosh,712
2016-03-13,Windows,2118
2016-03-13,Windows Phone,42
2016-03-13,iOS,1994
2016-03-14,(not set),8
2016-03-14,Android,1594
2016-03-14,BlackBerry,6
2016-03-14,Chrome OS,113
2016-03-14,Linux,25
2016-03-14,Macintosh,1151
2016-03-14,Nintendo Wii,1
2016-03-14,Windows,5876
2016-03-14,Windows Phone,44
2016-03-14,iOS,2454
2016-03-15,(not set),5
2016-03-15,Android,1471
2016-03-15,BlackBerry,5
2016-03-15,Chrome OS,117
2016-03-15,Linux,34
2016-03-15,Macintosh,1142
2016-03-15,Windows,5965
2016-03-15,Windows Phone,57
2016-03-15,Xbox,2
2016-03-15,iOS,2384
2016-03-16,(not set),4
2016-03-16,Android,1405
2016-03-16,BlackBerry,5
2016-03-16,Chrome OS,111
2016-03-16,Linux,39
2016-03-16,Macintosh,1032
2016-03-16,Nintendo Wii,1
2016-03-16,Samsung,1
2016-03-16,SymbianOS,1
2016-03-16,Windows,5980
2016-03-16,Windows Phone,61
2016-03-16,Xbox,1
2016-03-16,iOS,2264
2016-03-17,(not set),3
2016-03-17,Android,1387
2016-03-17,BlackBerry,3
2016-03-17,Chrome OS,96
2016-03-17,Linux,27
2016-03-17,Macintosh,943
2016-03-17,Windows,5645
2016-03-17,Windows Phone,56
2016-03-17,Xbox,3
2016-03-17,iOS,2194
2016-03-18,(not set),2
2016-03-18,Android,1367
2016-03-18,BlackBerry,7
2016-03-18,Chrome OS,99
2016-03-18,Linux,33
2016-03-18,Macintosh,859
2016-03-18,Nintendo Wii,1
2016-03-18,Windows,4912
2016-03-18,Windows Phone,60
2016-03-18,Xbox,4
2016-03-18,iOS,2236
2016-03-19,(not set),6
2016-03-19,Android,1419
2016-03-19,BlackBerry,9
2016-03-19,Chrome OS,45
2016-03-19,FreeBSD,1
2016-03-19,Linux,25
2016-03-19,Macintosh,764
2016-03-19,Windows,2584
2016-03-19,Windows Phone,72
2016-03-19,Xbox,1
2016-03-19,iOS,2132
2016-03-20,(not set),6
2016-03-20,Android,1183
2016-03-20,BlackBerry,3
2016-03-20,Chrome OS,39
2016-03-20,Linux,29
2016-03-20,Macintosh,836
2016-03-20,Nintendo Wii,1
2016-03-20,Windows,2243
2016-03-20,Windows Phone,54
2016-03-20,Xbox,5
2016-03-20,iOS,1992
2016-03-21,(not set),4
2016-03-21,Android,1534
2016-03-21,BlackBerry,5
2016-03-21,Chrome OS,86
2016-03-21,Linux,25
2016-03-21,Macintosh,1125
2016-03-21,SymbianOS,1
2016-03-21,Windows,5845
2016-03-21,Windows Phone,66
2016-03-21,Xbox,3
2016-03-21,iOS,2430
2016-03-22,(not set),9
2016-03-22,Android,1497
2016-03-22,BlackBerry,6
2016-03-22,Chrome OS,110
2016-03-22,Linux,39
2016-03-22,Macintosh,1211
2016-03-22,Windows,6309
2016-03-22,Windows Phone,54
2016-03-22,Xbox,7
2016-03-22,iOS,2280
2016-03-23,(not set),2
2016-03-23,Android,1513
2016-03-23,BlackBerry,9
2016-03-23,Chrome OS,82
2016-03-23,Linux,33
2016-03-23,Macintosh,1102
2016-03-23,OS/2,1
2016-03-23,Playstation 3,1
2016-03-23,Windows,5808
2016-03-23,Windows Phone,57
2016-03-23,Xbox,3
2016-03-23,iOS,2393
2016-03-24,(not set),5
2016-03-24,Android,1520
2016-03-24,BlackBerry,4
2016-03-24,Chrome OS,86
2016-03-24,Linux,22
2016-03-24,Macintosh,1083
2016-03-24,Windows,5499
2016-03-24,Windows Phone,57
2016-03-24,iOS,2268
2016-03-25,(not set),1
2016-03-25,Android,1507
2016-03-25,BlackBerry,3
2016-03-25,Chrome OS,39
2016-03-25,Linux,21
2016-03-25,Macintosh,958
2016-03-25,Nintendo Wii,1
2016-03-25,Windows,4773
2016-03-25,Windows Phone,70
2016-03-25,Xbox,1
2016-03-25,iOS,2329
2016-03-26,(not set),10
2016-03-26,Android,1650
2016-03-26,BlackBerry,1
2016-03-26,Chrome OS,31
2016-03-26,Linux,24
2016-03-26,Macintosh,802
2016-03-26,Nintendo Wii,1
2016-03-26,Playstation Vita,1
2016-03-26,Windows,2389
2016-03-26,Windows Phone,73
2016-03-26,Xbox,3
2016-03-26,iOS,2488
2016-03-27,(not set),5
2016-03-27,Android,1153
2016-03-27,Chrome OS,39
2016-03-27,Linux,24
2016-03-27,Macintosh,768
2016-03-27,Samsung,1
2016-03-27,Windows,1840
2016-03-27,Windows Phone,44
2016-03-27,Xbox,2
2016-03-27,iOS,1898
2016-03-28,(not set),8
2016-03-28,Android,1612
2016-03-28,BlackBerry,7
2016-03-28,Chrome OS,68
2016-03-28,Linux,42
2016-03-28,Macintosh,1283
2016-03-28,Samsung,1
2016-03-28,Windows,4628
2016-03-28,Windows Phone,63
2016-03-28,Xbox,1
2016-03-28,iOS,2616
2016-03-29,(not set),3
2016-03-29,Android,1578
2016-03-29,BlackBerry,8
2016-03-29,Chrome OS,98
2016-03-29,Linux,34
2016-03-29,Macintosh,1292
2016-03-29,Windows,6272
2016-03-29,Windows Phone,62
2016-03-29,Xbox,5
2016-03-29,iOS,2488
2016-03-30,(not set),4
2016-03-30,Android,1452
2016-03-30,BlackBerry,7
2016-03-30,Chrome OS,76
2016-03-30,Linux,47
2016-03-30,Macintosh,1217
2016-03-30,Windows,6199
2016-03-30,Windows Phone,47
2016-03-30,Xbox,3
2016-03-30,iOS,2376
2016-03-31,(not set),7
2016-03-31,Android,1481
2016-03-31,BlackBerry,4
2016-03-31,Chrome OS,89
2016-03-31,Linux,45
2016-03-31,Macintosh,1114
2016-03-31,Windows,5922
2016-03-31,Windows Phone,36
2016-03-31,Xbox,2
2016-03-31,iOS,2290
2016-04-01,(not set),9
2016-04-01,Android,1614
2016-04-01,BlackBerry,6
2016-04-01,Chrome OS,73
2016-04-01,Linux,37
2016-04-01,Macintosh,1016
2016-04-01,Nokia,1
2016-04-01,Windows,5014
2016-04-01,Windows Phone,54
2016-04-01,Xbox,3
2016-04-01,iOS,2477
2016-04-02,(not set),11
2016-04-02,Android,1548
2016-04-02,BlackBerry,4
2016-04-02,Chrome OS,47
2016-04-02,Linux,24
2016-04-02,Macintosh,835
2016-04-02,Nintendo Wii,2
2016-04-02,Windows,2721
2016-04-02,Windows Phone,45
2016-04-02,Xbox,2
2016-04-02,iOS,2442
2016-04-03,(not set),11
2016-04-03,Android,1240
2016-04-03,BlackBerry,1
2016-04-03,Chrome OS,37
2016-04-03,Linux,26
2016-04-03,Macintosh,884
2016-04-03,Windows,2236
2016-04-03,Windows Phone,47
2016-04-03,Xbox,1
2016-04-03,iOS,2274
2016-04-04,(not set),6
2016-04-04,Android,1778
2016-04-04,BlackBerry,12
2016-04-04,Chrome OS,89
2016-04-04,Linux,38
2016-04-04,Macintosh,1625
2016-04-04,Nintendo 3DS,1
2016-04-04,Playstation 3,1
2016-04-04,Windows,6697
2016-04-04,Windows Phone,42
2016-04-04,iOS,3393
2016-04-05,(not set),5
2016-04-05,Android,2951
2016-04-05,BlackBerry,12
2016-04-05,Chrome OS,98
2016-04-05,Linux,71
2016-04-05,Macintosh,2474
2016-04-05,Windows,9379
2016-04-05,Windows Phone,69
2016-04-05,Xbox,4
2016-04-05,iOS,6858
2016-04-06,(not set),4
2016-04-06,Android,2419
2016-04-06,BlackBerry,14
2016-04-06,Chrome OS,119
2016-04-06,Linux,45
2016-04-06,Macintosh,2206
2016-04-06,Windows,8809
2016-04-06,Windows Phone,77
2016-04-06,iOS,5162
2016-04-07,(not set),3
2016-04-07,Android,1503
2016-04-07,BlackBerry,7
2016-04-07,Chrome OS,89
2016-04-07,Linux,50
2016-04-07,Macintosh,1089
2016-04-07,Windows,5817
2016-04-07,Windows Phone,49
2016-04-07,Xbox,3
2016-04-07,iOS,2551
2016-04-08,(not set),6
2016-04-08,Android,1472
2016-04-08,BlackBerry,4
2016-04-08,Chrome OS,128
2016-04-08,Linux,35
2016-04-08,Macintosh,1015
2016-04-08,Nokia,1
2016-04-08,Windows,5088
2016-04-08,Windows Phone,47
2016-04-08,Xbox,1
2016-04-08,iOS,2476
2016-04-09,(not set),2
2016-04-09,Android,1663
2016-04-09,BlackBerry,2
2016-04-09,Chrome OS,32
2016-04-09,Linux,36
2016-04-09,Macintosh,902
2016-04-09,Windows,2762
2016-04-09,Windows Phone,59
2016-04-09,Xbox,2
2016-04-09,iOS,2614
2016-04-10,(not set),5
2016-04-10,Android,1342
2016-04-10,BlackBerry,1
2016-04-10,Chrome OS,40
2016-04-10,Linux,23
2016-04-10,Macintosh,934
2016-04-10,Windows,2313
2016-04-10,Windows Phone,28
2016-04-10,iOS,2254
2016-04-11,(not set),14
2016-04-11,Android,1637
2016-04-11,BlackBerry,6
2016-04-11,Chrome OS,111
2016-04-11,Linux,49
2016-04-11,Macintosh,1232
2016-04-11,Windows,5902
2016-04-11,Windows Phone,48
2016-04-11,Xbox,2
2016-04-11,iOS,2381
2016-04-12,(not set),3
2016-04-12,Android,1588
2016-04-12,BlackBerry,4
2016-04-12,Chrome OS,129
2016-04-12,Linux,40
2016-04-12,Macintosh,1222
2016-04-12,Samsung,1
2016-04-12,Windows,6218
2016-04-12,Windows Phone,56
2016-04-12,iOS,2376
2016-04-13,(not set),5
2016-04-13,Android,1440
2016-04-13,BlackBerry,2
2016-04-13,Chrome OS,109
2016-04-13,Google TV,1
2016-04-13,Linux,54
2016-04-13,Macintosh,1191
2016-04-13,Windows,6098
2016-04-13,Windows Phone,60
2016-04-13,Xbox,1
2016-04-13,iOS,2385
2016-04-14,(not set),2
2016-04-14,Android,1457
2016-04-14,BlackBerry,4
2016-04-14,Chrome OS,98
2016-04-14,Linux,35
2016-04-14,Macintosh,1105
2016-04-14,Windows,5939
2016-04-14,Windows Phone,62
2016-04-14,Xbox,2
2016-04-14,iOS,2302
2016-04-15,(not set),7
2016-04-15,Android,1525
2016-04-15,BlackBerry,3
2016-04-15,Chrome OS,82
2016-04-15,Linux,36
2016-04-15,Macintosh,1066
2016-04-15,Playstation 3,1
2016-04-15,Windows,5404
2016-04-15,Windows Phone,64
2016-04-15,iOS,2601
2016-04-16,(not set),12
2016-04-16,Android,1694
2016-04-16,BlackBerry,6
2016-04-16,Chrome OS,38
2016-04-16,Linux,40
2016-04-16,Macintosh,807
2016-04-16,Nintendo 3DS,1
2016-04-16,Windows,2814
2016-04-16,Windows Phone,66
2016-04-16,Xbox,3
2016-04-16,iOS,2770
2016-04-17,(not set),8
2016-04-17,Android,1363
2016-04-17,BlackBerry,3
2016-04-17,Chrome OS,29
2016-04-17,Linux,48
2016-04-17,Macintosh,815
2016-04-17,Windows,2187
2016-04-17,Windows Phone,41
2016-04-17,iOS,2289
2016-04-18,(not set),6
2016-04-18,Android,1547
2016-04-18,BlackBerry,6
2016-04-18,Chrome OS,91
2016-04-18,Linux,35
2016-04-18,Macintosh,1214
2016-04-18,Nokia,1
2016-04-18,Playstation 3,2
2016-04-18,Windows,5950
2016-04-18,Windows Phone,51
2016-04-18,Xbox,1
2016-04-18,iOS,2471
2016-04-19,(not set),11
2016-04-19,Android,1484
2016-04-19,BlackBerry,5
2016-04-19,Chrome OS,115
2016-04-19,Linux,45
2016-04-19,Macintosh,1211
2016-04-19,Nokia,1
2016-04-19,Playstation 3,2
2016-04-19,Windows,6269
2016-04-19,Windows Phone,48
2016-04-19,Xbox,2
2016-04-19,iOS,2379
2016-04-20,(not set),4
2016-04-20,Android,1395
2016-04-20,BlackBerry,8
2016-04-20,Chrome OS,93
2016-04-20,Linux,46
2016-04-20,Macintosh,1245
2016-04-20,Windows,6145
2016-04-20,Windows Phone,58
2016-04-20,Xbox,2
2016-04-20,iOS,2354
2016-04-21,(not set),5
2016-04-21,Android,1521
2016-04-21,BlackBerry,4
2016-04-21,Chrome OS,101
2016-04-21,Linux,43
2016-04-21,Macintosh,1107
2016-04-21,OS/2,1
2016-04-21,Playstation 3,1
2016-04-21,Windows,5542
2016-04-21,Windows Phone,53
2016-04-21,iOS,2140
2016-04-22,(not set),4
2016-04-22,Android,1442
2016-04-22,BlackBerry,3
2016-04-22,Chrome OS,76
2016-04-22,Linux,49
2016-04-22,Macintosh,997
2016-04-22,Windows,5059
2016-04-22,Windows Phone,61
2016-04-22,iOS,2268
2016-04-23,(not set),1
2016-04-23,Android,1553
2016-04-23,BlackBerry,9
2016-04-23,Chrome OS,32
2016-04-23,Linux,57
2016-04-23,Macintosh,795
2016-04-23,Nokia,1
2016-04-23,Playstation Vita,1
2016-04-23,Windows,2512
2016-04-23,Windows Phone,76
2016-04-23,iOS,2435
2016-04-24,(not set),6
2016-04-24,Android,1262
2016-04-24,BlackBerry,6
2016-04-24,Chrome OS,32
2016-04-24,Linux,38
2016-04-24,Macintosh,747
2016-04-24,Windows,2075
2016-04-24,Windows Phone,65
2016-04-24,iOS,2202
2016-04-25,(not set),6
2016-04-25,Android,1438
2016-04-25,BlackBerry,9
2016-04-25,Chrome OS,111
2016-04-25,Linux,40
2016-04-25,Macintosh,1146
2016-04-25,Windows,5951
2016-04-25,Windows Phone,53
2016-04-25,iOS,2534
