date,browser,visits
2016-02-07,Edge,96
2016-02-07,Amazon Silk,44
2016-02-07,Safari (in-app),30
2016-02-07,Opera,13
2016-02-07,Opera Mini,12
2016-02-07,UC Browser,4
2016-02-07,Coc Coc,2
2016-02-07,BlackBerry,1
2016-02-08,Chrome,4090
2016-02-08,Internet Explorer,2779
2016-02-08,Safari,2549
2016-02-08,Firefox,632
2016-02-08,Edge,192
2016-02-08,Android Browser,124
2016-02-08,Amazon Silk,41
2016-02-08,Safari (in-app),34
2016-02-08,Opera,13
2016-02-08,BlackBerry,5
2016-02-08,UC Browser,5
2016-02-08,Opera Mini,4
2016-02-08,Mozilla Compatible Agent,3
2016-02-08,IE with Chrome Frame,1
2016-02-08,Nokia Browser,1
2016-02-08,YaBrowser,1
2016-02-09,Chrome,4183
2016-02-09,Internet Explorer,2986
2016-02-09,Safari,2600
2016-02-09,Firefox,642
2016-02-09,Edge,163
2016-02-09,Android Browser,151
2016-02-09,Amazon Silk,45
2016-02-09,Safari (in-app),35
2016-02-09,Opera Mini,16
2016-02-09,BlackBerry,5
2016-02-09,Opera,5
2016-02-09,UC Browser,4
2016-02-09,IE with Chrome Frame,3
2016-02-09,Maxthon,2
2016-02-09,SeaMonkey,2
2016-02-09,Mozilla,1
2016-02-09,Nintendo Browser,1
2016-02-10,Chrome,3992
2016-02-10,Internet Explorer,2823
2016-02-10,Safari,2669
2016-02-10,Firefox,654
2016-02-10,Edge,173
2016-02-10,Android Browser,156
2016-02-10,Amazon Silk,33
2016-02-10,Safari (in-app),30
2016-02-10,Opera,19
2016-02-10,BlackBerry,6
2016-02-10,Opera Mini,5
2016-02-10,Maxthon,2
2016-02-10,Nintendo Browser,2
2016-02-10,Coc Coc,1
2016-02-10,IE with Chrome Frame,1
2016-02-10,Mozilla Compatible Agent,1
2016-02-10,UC Browser,1
2016-02-11,Chrome,4023
2016-02-11,Internet Explorer,2792
2016-02-11,Safari,2541
2016-02-11,Firefox,593
2016-02-11,Android Browser,171
2016-02-11,Edge,143
2016-02-11,Safari (in-app),42
2016-02-11,Amazon Silk,39
2016-02-11,Opera,18
2016-02-11,BlackBerry,10
2016-02-11,Opera Mini,7
2016-02-11,UC Browser,7
2016-02-11,IE with Chrome Frame,4
2016-02-11,Mozilla Compatible Agent,2
2016-02-11,Playstation 3,2
2016-02-11,Phantom Browser,1
2016-02-11,Playstation Vita Browser,1
2016-02-12,Chrome,3615
2016-02-12,Internet Explorer,2554
2016-02-12,Safari,2529
2016-02-12,Firefox,580
2016-02-12,Android Browser,155
2016-02-12,Edge,147
2016-02-12,Safari (in-app),87
2016-02-12,Amazon Silk,31
2016-02-12,Opera,14
2016-02-12,BlackBerry,10
2016-02-12,Opera Mini,3
2016-02-12,Mozilla Compatible Agent,2
2016-02-12,UC Browser,2
2016-02-12,(not set),1
2016-02-12,IE with Chrome Frame,1
2016-02-13,Chrome,2471
2016-02-13,Safari,2350
2016-02-13,Internet Explorer,992
2016-02-13,Firefox,360
2016-02-13,Android Browser,166
2016-02-13,Edge,107
2016-02-13,Safari (in-app),58
2016-02-13,Amazon Silk,44
2016-02-13,Opera Mini,13
2016-02-13,BlackBerry,8
2016-02-13,Opera,8
2016-02-13,UC Browser,4
2016-02-13,Mozilla Compatible Agent,2
2016-02-13,Nintendo Browser,2
2016-02-13,(not set),1
2016-02-13,Playstation 3,1
2016-02-13,Playstation Vita Browser,1
2016-02-14,Chrome,2267
2016-02-14,Safari,2257
2016-02-14,Internet Explorer,824
2016-02-14,Firefox,313
2016-02-14,Edge,135
2016-02-14,Android Browser,131
2016-02-14,Safari (in-app),53
2016-02-14,Amazon Silk,26
2016-02-14,Mozilla Compatible Agent,5
2016-02-14,Opera,5
2016-02-14,BlackBerry,3
2016-02-14,Opera Mini,3
2016-02-14,Maxthon,1
2016-02-14,Nintendo Browser,1
2016-02-15,Chrome,3486
2016-02-15,Safari,2758
2016-02-15,Internet Explorer,1128
2016-02-15,Firefox,559
2016-02-15,Edge,188
2016-02-15,Android Browser,171
2016-02-15,Safari (in-app),55
2016-02-15,Amazon Silk,41
2016-02-15,Opera,13
2016-02-15,Opera Mini,11
2016-02-15,Mozilla Compatible Agent,7
2016-02-15,BlackBerry,5
2016-02-15,UC Browser,2
2016-02-15,IE with Chrome Frame,1
2016-02-15,Iron,1
2016-02-16,Chrome,4205
2016-02-16,Internet Explorer,3137
2016-02-16,Safari,2574
2016-02-16,Firefox,683
2016-02-16,Edge,196
2016-02-16,Android Browser,148
2016-02-16,Safari (in-app),56
2016-02-16,Amazon Silk,49
2016-02-16,Opera,14
2016-02-16,Opera Mini,14
2016-02-16,UC Browser,8
2016-02-16,BlackBerry,4
2016-02-16,IE with Chrome Frame,3
2016-02-16,Mozilla Compatible Agent,2
2016-02-16,Mozilla,1
2016-02-16,Nintendo Browser,1
2016-02-17,Chrome,4282
2016-02-17,Internet Explorer,2988
2016-02-17,Safari,2598
2016-02-17,Firefox,591
2016-02-17,Android Browser,173
2016-02-17,Edge,160
2016-02-17,Safari (in-app),67
2016-02-17,Amazon Silk,37
2016-02-17,Opera,11
2016-02-17,Opera Mini,8
2016-02-17,UC Browser,6
2016-02-17,BlackBerry,3
2016-02-17,Nintendo Browser,3
2016-02-17,IE with Chrome Frame,1
2016-02-17,Mozilla Compatible Agent,1
2016-02-17,Playstation 3,1
2016-02-18,Chrome,4082
2016-02-18,Internet Explorer,2880
2016-02-18,Safari,2545
2016-02-18,Firefox,622
2016-02-18,Edge,177
2016-02-18,Android Browser,165
2016-02-18,Safari (in-app),95
2016-02-18,Amazon Silk,27
2016-02-18,Opera,19
2016-02-18,BlackBerry,7
2016-02-18,Mozilla Compatible Agent,6
2016-02-18,Opera Mini,5
2016-02-18,UC Browser,5
2016-02-18,SeaMonkey,1
2016-02-18,nook browser,1
2016-02-19,Chrome,3653
2016-02-19,Safari,2599
2016-02-19,Internet Explorer,2572
2016-02-19,Firefox,531
2016-02-19,Edge,167
2016-02-19,Android Browser,150
2016-02-19,Safari (in-app),117
2016-02-19,Amazon Silk,41
2016-02-19,Opera,22
2016-02-19,Mozilla Compatible Agent,7
2016-02-19,Opera Mini,7
2016-02-19,UC Browser,6
2016-02-19,IE with Chrome Frame,5
2016-02-19,BlackBerry,2
2016-02-19,Playstation Vita Browser,2
2016-02-19,Maxthon,1
2016-02-19,Nintendo 3DS Browser,1
2016-02-19,Nintendo Browser,1
2016-02-20,Chrome,2669
2016-02-20,Safari,2427
2016-02-20,Internet Explorer,1304
2016-02-20,Firefox,343
2016-02-20,Android Browser,184
2016-02-20,Edge,108
2016-02-20,Amazon Silk,56
2016-02-20,Safari (in-app),47
2016-02-20,Opera,14
2016-02-20,BlackBerry,6
2016-02-20,Opera Mini,5
2016-02-20,Mozilla Compatible Agent,4
2016-02-20,IE with Chrome Frame,1
2016-02-20,Phantom.js bot,1
2016-02-21,Chrome,2615
2016-02-21,Safari,2385
2016-02-21,Internet Explorer,819
2016-02-21,Firefox,350
2016-02-21,Edge,143
2016-02-21,Android Browser,124
2016-02-21,Amazon Silk,43
2016-02-21,Safari (in-app),37
2016-02-21,Opera,7
2016-02-21,BlackBerry,3
2016-02-21,Opera Mini,3
2016-02-21,Mozilla Compatible Agent,2
2016-02-21,Nintendo 3DS Browser,2
2016-02-21,UC Browser,2
2016-02-21,Maxthon,1
2016-02-21,Playstation Vita Browser,1
2016-02-22,Chrome,4204
2016-02-22,Safari,2663
2016-02-22,Internet Explorer,2654
2016-02-22,Firefox,655
2016-02-22,Edge,196
2016-02-22,Android Browser,145
2016-02-22,Safari (in-app),39
2016-02-22,Amazon Silk,34
2016-02-22,Opera,24
2016-02-22,BlackBerry,6
2016-02-22,Opera Mini,6
2016-02-22,IE with Chrome Frame,3
2016-02-22,Mozilla Compatible Agent,3
2016-02-22,Coc Coc,1
2016-02-22,Maxthon,1
2016-02-22,Nintendo Browser,1
2016-02-22,UC Browser,1
2016-02-22,YaBrowser,1
2016-02-23,Chrome,4281
2016-02-23,Internet Explorer,3002
2016-02-23,Safari,2674
2016-02-23,Firefox,573
2016-02-23,Edge,173
2016-02-23,Android Browser,148
2016-02-23,Safari (in-app),51
2016-02-23,Amazon Silk,42
2016-02-23,Opera,16
2016-02-23,Opera Mini,7
2016-02-23,Mozilla Compatible Agent,5
2016-02-23,BlackBerry,2
2016-02-23,Maxthon,2
2016-02-23,IE with Chrome Frame,1
2016-02-23,Nintendo Browser,1
2016-02-23,Playstation 3,1
2016-02-23,YaBrowser,1
2016-02-24,Chrome,4140
2016-02-24,Internet Explorer,2915
2016-02-24,Safari,2569
2016-02-24,Firefox,644
2016-02-24,Edge,158
2016-02-24,Android Browser,141
2016-02-24,Safari (in-app),44
2016-02-24,Amazon Silk,40
2016-02-24,Opera,17
2016-02-24,BlackBerry,8
2016-02-24,Opera Mini,4
2016-02-24,IE with Chrome Frame,2
2016-02-24,UC Browser,2
2016-02-24,(not set),1
2016-02-24,Maxthon,1
2016-02-24,Mozilla Compatible Agent,1
2016-02-24,Playstation 3,1
2016-02-25,Chrome,4035
2016-02-25,Internet Explorer,2719
2016-02-25,Safari,2488
2016-02-25,Firefox,562
2016-02-25,Android Browser,167
2016-02-25,Edge,160
2016-02-25,Safari (in-app),54
2016-02-25,Amazon Silk,32
2016-02-25,Opera,10
2016-02-25,Opera Mini,8
2016-02-25,UC Browser,3
2016-02-25,BlackBerry,2
2016-02-25,Mozilla Compatible Agent,2
2016-02-25,Nintendo Browser,1
2016-02-26,Chrome,3694
2016-02-26,Safari,2573
2016-02-26,Internet Explorer,2487
2016-02-26,Firefox,496
2016-02-26,Edge,137
2016-02-26,Android Browser,130
2016-02-26,Amazon Silk,39
2016-02-26,Safari (in-app),27
2016-02-26,Opera,21
2016-02-26,UC Browser,5
2016-02-26,Opera Mini,4
2016-02-26,BlackBerry,3
2016-02-26,IE with Chrome Frame,1
2016-02-26,Nintendo Browser,1
2016-02-26,YaBrowser,1
2016-02-27,Chrome,2508
2016-02-27,Safari,2502
2016-02-27,Internet Explorer,1347
2016-02-27,Firefox,330
2016-02-27,Edge,138
2016-02-27,Android Browser,126
2016-02-27,Amazon Silk,34
2016-02-27,Safari (in-app),31
2016-02-27,Opera,11
2016-02-27,Opera Mini,9
2016-02-27,BlackBerry,3
2016-02-27,Mozilla Compatible Agent,3
2016-02-27,UC Browser,3
2016-02-27,DDG-Android-3.0.12,2
2016-02-27,Iron,1
2016-02-28,Chrome,2409
2016-02-28,Safari,2372
2016-02-28,Internet Explorer,856
2016-02-28,Firefox,341
2016-02-28,Edge,125
2016-02-28,Android Browser,114
2016-02-28,Amazon Silk,26
2016-02-28,Safari (in-app),23
2016-02-28,Opera,10
2016-02-28,Opera Mini,8
2016-02-28,BlackBerry,4
2016-02-28,YaBrowser,2
2016-02-28,IE with Chrome Frame,1
2016-02-28,Mozilla Compatible Agent,1
2016-02-28,UC Browser,1
2016-02-29,Chrome,4397
2016-02-29,Safari,2735
2016-02-29,Internet Explorer,2713
2016-02-29,Firefox,655
2016-02-29,Edge,175
2016-02-29,Android Browser,144
2016-02-29,Safari (in-app),27
2016-02-29,Amazon Silk,23
2016-02-29,Opera,14
2016-02-29,Opera Mini,5
2016-02-29,BlackBerry,3
2016-02-29,IE with Chrome Frame,2
2016-02-29,Mozilla Compatible Agent,2
2016-02-29,UC Browser,2
2016-02-29,YaBrowser,2
2016-02-29,Coc Coc,1
2016-02-29,RockMelt,1
2016-03-01,Chrome,4759
2016-03-01,Safari,3207
2016-03-01,Internet Explorer,3006
2016-03-01,Firefox,702
2016-03-01,Edge,177
2016-03-01,Android Browser,165
2016-03-01,Safari (in-app),49
2016-03-01,Amazon Silk,43
2016-03-01,Opera,27
2016-03-01,IE with Chrome Frame,7
2016-03-01,Opera Mini,7
2016-03-01,BlackBerry,6
2016-03-01,Mozilla Compatible Agent,1
2016-03-01,NetFront,1
2016-03-01,Playstation 3,1
2016-03-01,UC Browser,1
2016-03-01,YaBrowser,1
2016-03-02,Chrome,4164
2016-03-02,Internet Explorer,2786
2016-03-02,Safari,2592
2016-03-02,Firefox,673
2016-03-02,Edge,184
2016-03-02,Android Browser,148
2016-03-02,Amazon Silk,37
2016-03-02,Safari (in-app),35
2016-03-02,Opera,21
2016-03-02,Opera Mini,5
2016-03-02,UC Browser,4
2016-03-02,BlackBerry,1
2016-03-02,Iron,1
2016-03-02,Mozilla Compatible Agent,1
2016-03-02,NetFront,1
2016-03-02,Playstation 3,1
2016-03-03,Chrome,4091
2016-03-03,Internet Explorer,2721
2016-03-03,Safari,2455
2016-03-03,Firefox,640
2016-03-03,Edge,156
2016-03-03,Android Browser,135
2016-03-03,Amazon Silk,33
2016-03-03,Safari (in-app),26
2016-03-03,Opera,18
2016-03-03,Opera Mini,13
2016-03-03,UC Browser,5
2016-03-03,Maxthon,4
2016-03-03,IE with Chrome Frame,2
2016-03-03,BlackBerry,1
2016-03-03,Coc Coc,1
2016-03-03,YE,1
2016-03-03,YaBrowser,1
2016-03-04,Chrome,4192
2016-03-04,Safari,2656
2016-03-04,Internet Explorer,2517
2016-03-04,Firefox,534
2016-03-04,Android Browser,144
2016-03-04,Edge,140
2016-03-04,Amazon Silk,31
2016-03-04,Safari (in-app),27
2016-03-04,Opera,12
2016-03-04,UC Browser,5
2016-03-04,BlackBerry,4
2016-03-04,Mozilla Compatible Agent,3
2016-03-04,Opera Mini,3
2016-03-04,Iron,1
2016-03-04,Maxthon,1
2016-03-04,Nintendo Browser,1
2016-03-05,Chrome,2717
2016-03-05,Safari,2616
2016-03-05,Internet Explorer,1311
2016-03-05,Firefox,362
2016-03-05,Android Browser,172
2016-03-05,Edge,146
2016-03-05,Amazon Silk,48
2016-03-05,Safari (in-app),20
2016-03-05,Opera,19
2016-03-05,Mozilla Compatible Agent,5
2016-03-05,UC Browser,5
2016-03-05,BlackBerry,4
2016-03-05,Opera Mini,3
2016-03-05,BlackBerry8520,1
2016-03-05,IE with Chrome Frame,1
2016-03-05,Phantom.js bot,1
2016-03-05,YaBrowser,1
2016-03-06,Chrome,2497
2016-03-06,Safari,2286
2016-03-06,Internet Explorer,813
2016-03-06,Firefox,317
2016-03-06,Edge,106
2016-03-06,Android Browser,101
2016-03-06,Amazon Silk,24
2016-03-06,Safari (in-app),24
2016-03-06,Opera,9
2016-03-06,Opera Mini,7
2016-03-06,BlackBerry,4
2016-03-06,Coc Coc,1
2016-03-06,Mozilla,1
2016-03-06,Mozilla Compatible Agent,1
2016-03-06,Nokia Browser,1
2016-03-07,Chrome,4344
2016-03-07,Internet Explorer,2843
2016-03-07,Safari,2809
2016-03-07,Firefox,675
2016-03-07,Edge,225
2016-03-07,Android Browser,133
2016-03-07,Amazon Silk,36
2016-03-07,Safari (in-app),26
2016-03-07,Opera,11
2016-03-07,UC Browser,8
2016-03-07,Opera Mini,6
2016-03-07,BlackBerry,4
2016-03-07,Mozilla Compatible Agent,3
2016-03-07,IE with Chrome Frame,2
2016-03-07,Mozilla,2
2016-03-07,NetFront,2
2016-03-07,Coc Coc,1
2016-03-07,Maxthon,1
2016-03-08,Chrome,4548
2016-03-08,Internet Explorer,3334
2016-03-08,Safari,2758
2016-03-08,Firefox,775
2016-03-08,Edge,190
2016-03-08,Android Browser,143
2016-03-08,Safari (in-app),36
2016-03-08,Amazon Silk,29
2016-03-08,Opera,11
2016-03-08,Opera Mini,7
2016-03-08,UC Browser,4
2016-03-08,Mozilla Compatible Agent,3
2016-03-08,Iron,2
2016-03-08,Playstation Vita Browser,2
2016-03-08,BlackBerry,1
2016-03-08,BlackBerry9300,1
2016-03-08,IE with Chrome Frame,1
2016-03-08,Maxthon,1
2016-03-08,NetFront,1
2016-03-08,Nintendo Browser,1
2016-03-08,Nokia Browser,1
2016-03-08,Python-urllib,1
2016-03-09,Chrome,4131
2016-03-09,Internet Explorer,2872
2016-03-09,Safari,2595
2016-03-09,Firefox,668
2016-03-09,Edge,175
2016-03-09,Android Browser,123
2016-03-09,Amazon Silk,31
2016-03-09,Safari (in-app),31
2016-03-09,Opera Mini,6
2016-03-09,Opera,5
2016-03-09,UC Browser,5
2016-03-09,Iron,2
2016-03-09,Maxthon,2
2016-03-09,Mozilla Compatible Agent,2
2016-03-09,BlackBerry,1
2016-03-09,IE with Chrome Frame,1
2016-03-09,NetFront,1
2016-03-09,Nintendo Browser,1
2016-03-10,Chrome,4157
2016-03-10,Internet Explorer,2849
2016-03-10,Safari,2473
2016-03-10,Firefox,635
2016-03-10,Edge,190
2016-03-10,Android Browser,118
2016-03-10,Amazon Silk,30
2016-03-10,Opera,18
2016-03-10,Safari (in-app),17
2016-03-10,Opera Mini,6
2016-03-10,BlackBerry,4
2016-03-10,Mozilla Compatible Agent,4
2016-03-10,UC Browser,2
2016-03-10,Maxthon,1
2016-03-11,Chrome,3794
2016-03-11,Safari,2743
2016-03-11,Internet Explorer,2542
2016-03-11,Firefox,560
2016-03-11,Edge,166
2016-03-11,Android Browser,139
2016-03-11,Amazon Silk,43
2016-03-11,Safari (in-app),27
2016-03-11,Opera,15
2016-03-11,Opera Mini,5
2016-03-11,UC Browser,4
2016-03-11,BlackBerry,3
2016-03-11,Mozilla Compatible Agent,1
2016-03-11,NetFront,1
2016-03-11,Nintendo Browser,1
2016-03-11,SeaMonkey,1
2016-03-12,Chrome,2654
2016-03-12,Safari,2647
2016-03-12,Internet Explorer,1334
2016-03-12,Firefox,302
2016-03-12,Edge,142
2016-03-12,Android Browser,122
2016-03-12,Amazon Silk,40
2016-03-12,Safari (in-app),27
2016-03-12,Opera,9
2016-03-12,BlackBerry,7
2016-03-12,Opera Mini,6
2016-03-12,UC Browser,6
2016-03-12,IE with Chrome Frame,1
2016-03-12,Nintendo Browser,1
2016-03-12,SeaMonkey,1
2016-03-12,YaBrowser,1
2016-03-13,Chrome,2499
2016-03-13,Safari,2276
2016-03-13,Internet Explorer,762
2016-03-13,Firefox,355
2016-03-13,Edge,153
2016-03-13,Android Browser,96
2016-03-13,Safari (in-app),27
2016-03-13,Amazon Silk,18
2016-03-13,BlackBerry,10
2016-03-13,Opera Mini,7
2016-03-13,Opera,4
2016-03-13,UC Browser,3
2016-03-13,Mozilla Compatible Agent,1
2016-03-13,RockMelt,1
2016-03-13,YaBrowser,1
2016-03-14,Chrome,4612
2016-03-14,Safari,2930
2016-03-14,Internet Explorer,2678
2016-03-14,Firefox,614
2016-03-14,Edge,201
2016-03-14,Android Browser,127
2016-03-14,Amazon Silk,36
2016-03-14,Safari (in-app),30
2016-03-14,Opera,17
2016-03-14,Opera Mini,10
2016-03-14,BlackBerry,6
2016-03-14,UC Browser,5
2016-03-14,Coc Coc,1
2016-03-14,IE with Chrome Frame,1
2016-03-14,Maxthon,1
2016-03-14,NetFront,1
2016-03-14,Nintendo Browser,1
2016-03-14,Nokia Browser,1
2016-03-15,Chrome,4261
2016-03-15,Internet Explorer,2976
2016-03-15,Safari,2919
2016-03-15,Firefox,615
2016-03-15,Edge,195
2016-03-15,Android Browser,101
2016-03-15,Safari (in-app),43
2016-03-15,Amazon Silk,39
2016-03-15,Opera,12
2016-03-15,UC Browser,7
2016-03-15,Opera Mini,6
2016-03-15,BlackBerry,3
2016-03-15,IE with Chrome Frame,3
2016-03-15,Coc Coc,1
2016-03-15,NetFront,1
2016-03-16,Chrome,4100
2016-03-16,Internet Explorer,3017
2016-03-16,Safari,2688
2016-03-16,Firefox,621
2016-03-16,Edge,215
2016-03-16,Android Browser,148
2016-03-16,Safari (in-app),51
2016-03-16,Amazon Silk,31
2016-03-16,Opera,13
2016-03-16,Opera Mini,8
2016-03-16,BlackBerry,5
2016-03-16,Mozilla Compatible Agent,4
2016-03-16,BrowserNG,1
2016-03-16,IE with Chrome Frame,1
2016-03-16,Maxthon,1
2016-03-16,Nintendo Browser,1
2016-03-17,Chrome,3844
2016-03-17,Internet Explorer,2949
2016-03-17,Safari,2613
2016-03-17,Firefox,553
2016-03-17,Edge,173
2016-03-17,Android Browser,135
2016-03-17,Amazon Silk,34
2016-03-17,Safari (in-app),32
2016-03-17,Opera,12
2016-03-17,Opera Mini,5
2016-03-17,BlackBerry,3
2016-03-17,UC Browser,3
2016-03-17,Maxthon,1
2016-03-18,Chrome,3552
2016-03-18,Safari,2656
2016-03-18,Internet Explorer,2466
2016-03-18,Firefox,532
2016-03-18,Edge,164
2016-03-18,Android Browser,122
2016-03-18,Amazon Silk,26
2016-03-18,Safari (in-app),24
2016-03-18,Opera,20
2016-03-18,UC Browser,7
2016-03-18,BlackBerry,6
2016-03-18,Opera Mini,4
2016-03-18,Nintendo Browser,1
2016-03-19,Chrome,2556
2016-03-19,Safari,2501
2016-03-19,Internet Explorer,1244
2016-03-19,Firefox,376
2016-03-19,Android Browser,153
2016-03-19,Edge,139
2016-03-19,Amazon Silk,30
2016-03-19,Safari (in-app),28
2016-03-19,BlackBerry,8
2016-03-19,Opera,8
2016-03-19,Opera Mini,8
2016-03-19,UC Browser,3
2016-03-19,Mozilla Compatible Agent,2
2016-03-19,Coc Coc,1
2016-03-19,Phantom.js bot,1
2016-03-20,Chrome,2501
2016-03-20,Safari,2338
2016-03-20,Internet Explorer,878
2016-03-20,Firefox,351
2016-03-20,Edge,123
2016-03-20,Android Browser,109
2016-03-20,Amazon Silk,41
2016-03-20,Safari (in-app),23
2016-03-20,Opera,12
2016-03-20,Opera Mini,6
2016-03-20,BlackBerry,2
2016-03-20,(not set),1
2016-03-20,BlackBerry8520,1
2016-03-20,Coc Coc,1
2016-03-20,Mozilla Compatible Agent,1
2016-03-20,Nintendo Browser,1
2016-03-20,UC Browser,1
2016-03-20,YaBrowser,1
2016-03-21,Chrome,4303
2016-03-21,Safari,2943
2016-03-21,Internet Explorer,2787
2016-03-21,Firefox,657
2016-03-21,Edge,200
2016-03-21,Android Browser,130
2016-03-21,Safari (in-app),41
