date,os_version,visits
2016-02-10,8.1,477
2016-02-10,Vista,72
2016-02-10,XP,356
2016-02-11,10,719
2016-02-11,7,4023
2016-02-11,8,33
2016-02-11,8.1,414
2016-02-11,Server 2003,1
2016-02-11,Vista,88
2016-02-11,XP,297
2016-02-12,10,693
2016-02-12,7,3551
2016-02-12,8,22
2016-02-12,8.1,394
2016-02-12,Server 2003,4
2016-02-12,Vista,62
2016-02-12,XP,276
2016-02-13,10,523
2016-02-13,7,1290
2016-02-13,8,19
2016-02-13,8.1,267
2016-02-13,Server 2003,1
2016-02-13,Vista,56
2016-02-13,XP,83
2016-02-14,10,535
2016-02-14,7,1102
2016-02-14,8,23
2016-02-14,8.1,275
2016-02-14,Server 2003,1
2016-02-14,Vista,52
2016-02-14,XP,76
2016-02-15,10,804
2016-02-15,7,1991
2016-02-15,8,27
2016-02-15,8.1,452
2016-02-15,Vista,81
2016-02-15,XP,78
2016-02-16,10,913
2016-02-16,7,4431
2016-02-16,8,27
2016-02-16,8.1,461
2016-02-16,Server 2003,2
2016-02-16,Vista,74
2016-02-16,XP,281
2016-02-17,10,774
2016-02-17,7,4321
2016-02-17,8,47
2016-02-17,8.1,459
2016-02-17,Server 2003,1
2016-02-17,Vista,83
2016-02-17,XP,311
2016-02-18,10,796
2016-02-18,2000,1
2016-02-18,7,4162
2016-02-18,8,33
2016-02-18,8.1,416
2016-02-18,Server 2003,1
2016-02-18,Vista,59
2016-02-18,XP,340
2016-02-19,10,702
2016-02-19,7,3619
2016-02-19,8,23
2016-02-19,8.1,412
2016-02-19,Server 2003,1
2016-02-19,Vista,58
2016-02-19,XP,261
2016-02-20,10,562
2016-02-20,7,1649
2016-02-20,8,38
2016-02-20,8.1,280
2016-02-20,Vista,73
2016-02-20,XP,92
2016-02-21,10,622
2016-02-21,7,1192
2016-02-21,8,16
2016-02-21,8.1,250
2016-02-21,Vista,62
2016-02-21,XP,80
2016-02-22,10,880
2016-02-22,7,3920
2016-02-22,8,27
2016-02-22,8.1,464
2016-02-22,Vista,72
2016-02-22,XP,263
2016-02-23,10,842
2016-02-23,7,4207
2016-02-23,8,35
2016-02-23,8.1,448
2016-02-23,Vista,86
2016-02-23,XP,375
2016-02-24,10,823
2016-02-24,2000,2
2016-02-24,7,4140
2016-02-24,8,31
2016-02-24,8.1,449
2016-02-24,Server 2003,3
2016-02-24,Vista,74
2016-02-24,XP,317
2016-02-25,10,812
2016-02-25,7,3892
2016-02-25,8,35
2016-02-25,8.1,417
2016-02-25,Server 2003,1
2016-02-25,Vista,71
2016-02-25,XP,304
2016-02-26,10,737
2016-02-26,7,3455
2016-02-26,8,21
2016-02-26,8.1,403
2016-02-26,Vista,64
2016-02-26,XP,283
2016-02-27,10,584
2016-02-27,2000,1
2016-02-27,7,1666
2016-02-27,8,32
2016-02-27,8.1,238
2016-02-27,Server 2003,3
2016-02-27,Vista,49
2016-02-27,XP,100
2016-02-28,10,581
2016-02-28,7,1163
2016-02-28,8,22
2016-02-28,8.1,296
2016-02-28,98,1
2016-02-28,Vista,64
2016-02-28,XP,50
2016-02-29,10,915
2016-02-29,2000,1
2016-02-29,7,4025
2016-02-29,8,42
2016-02-29,8.1,460
2016-02-29,Server 2003,2
2016-02-29,Vista,95
2016-02-29,XP,275
2016-03-01,10,947
2016-03-01,7,4327
2016-03-01,8,31
2016-03-01,8.1,487
2016-03-01,Vista,89
2016-03-01,XP,311
2016-03-02,10,851
2016-03-02,7,4034
2016-03-02,8,44
2016-03-02,8.1,433
2016-03-02,Vista,91
2016-03-02,XP,294
2016-03-03,10,818
2016-03-03,7,4029
2016-03-03,8,23
2016-03-03,8.1,428
2016-03-03,Vista,58
2016-03-03,XP,263
2016-03-04,10,740
2016-03-04,7,3751
2016-03-04,8,25
2016-03-04,8.1,389
2016-03-04,Server 2003,1
2016-03-04,Vista,61
2016-03-04,XP,253
2016-03-05,10,627
2016-03-05,7,1606
2016-03-05,8,20
2016-03-05,8.1,249
2016-03-05,Vista,66
2016-03-05,XP,115
2016-03-06,10,618
2016-03-06,7,1063
2016-03-06,8,32
2016-03-06,8.1,280
2016-03-06,Vista,62
2016-03-06,XP,71
2016-03-07,10,937
2016-03-07,7,4219
2016-03-07,8,47
2016-03-07,8.1,456
2016-03-07,Server 2003,1
2016-03-07,Vista,97
2016-03-07,XP,241
2016-03-08,10,957
2016-03-08,7,4774
2016-03-08,8,37
2016-03-08,8.1,484
2016-03-08,Vista,100
2016-03-08,XP,268
2016-03-09,10,912
2016-03-09,7,4118
2016-03-09,8,38
2016-03-09,8.1,406
2016-03-09,Vista,88
2016-03-09,XP,307
2016-03-10,10,895
2016-03-10,7,4112
2016-03-10,8,34
2016-03-10,8.1,419
2016-03-10,Server 2003,1
2016-03-10,Vista,66
2016-03-10,XP,287
2016-03-11,10,762
2016-03-11,7,3551
2016-03-11,8,30
2016-03-11,8.1,348
2016-03-11,Vista,79
2016-03-11,XP,249
2016-03-12,10,658
2016-03-12,7,1586
2016-03-12,8,19
2016-03-12,8.1,225
2016-03-12,Vista,58
2016-03-12,XP,130
2016-03-13,10,651
2016-03-13,7,1098
2016-03-13,8,21
2016-03-13,8.1,228
2016-03-13,Server 2003,1
2016-03-13,Vista,44
2016-03-13,XP,75
2016-03-14,10,1022
2016-03-14,7,4037
2016-03-14,8,35
2016-03-14,8.1,441
2016-03-14,Vista,92
2016-03-14,XP,249
2016-03-15,10,946
2016-03-15,7,4248
2016-03-15,8,38
2016-03-15,8.1,422
2016-03-15,Vista,79
2016-03-15,XP,232
2016-03-16,10,1018
2016-03-16,7,4201
2016-03-16,8,38
2016-03-16,8.1,373
2016-03-16,Server 2003,1
2016-03-16,Vista,75
2016-03-16,XP,274
2016-03-17,10,840
2016-03-17,7,4050
2016-03-17,8,29
2016-03-17,8.1,382
2016-03-17,Server 2003,1
2016-03-17,Vista,64
2016-03-17,XP,279
2016-03-18,10,844
2016-03-18,7,3387
2016-03-18,8,24
2016-03-18,8.1,362
2016-03-18,Vista,82
2016-03-18,XP,213
2016-03-19,10,678
2016-03-19,7,1478
2016-03-19,8,22
2016-03-19,8.1,242
2016-03-19,Vista,58
2016-03-19,XP,106
2016-03-20,10,661
2016-03-20,7,1143
2016-03-20,8,29
2016-03-20,8.1,273
2016-03-20,Vista,65
2016-03-20,XP,72
2016-03-21,10,1034
2016-03-21,7,4061
2016-03-21,8,36
2016-03-21,8.1,449
2016-03-21,Server 2003,1
2016-03-21,Vista,91
2016-03-21,XP,173
2016-03-22,10,1123
2016-03-22,7,4464
2016-03-22,8,29
2016-03-22,8.1,379
2016-03-22,Vista,84
2016-03-22,XP,230
2016-03-23,10,996
2016-03-23,7,4098
2016-03-23,8,26
2016-03-23,8.1,412
2016-03-23,Vista,71
2016-03-23,XP,205
2016-03-24,(not set),1
2016-03-24,10,981
2016-03-24,7,3880
2016-03-24,8,21
2016-03-24,8.1,392
2016-03-24,Vista,63
2016-03-24,XP,161
2016-03-25,10,865
2016-03-25,7,3361
2016-03-25,8,16
2016-03-25,8.1,308
2016-03-25,Vista,55
2016-03-25,XP,168
2016-03-26,10,676
2016-03-26,2000,1
2016-03-26,7,1317
2016-03-26,8,26
2016-03-26,8.1,236
2016-03-26,Server 2003,2
2016-03-26,Vista,63
2016-03-26,XP,68
2016-03-27,10,572
2016-03-27,7,920
2016-03-27,8,20
2016-03-27,8.1,219
2016-03-27,Vista,59
2016-03-27,XP,50
2016-03-28,10,1048
2016-03-28,7,2950
2016-03-28,8,22
2016-03-28,8.1,436
2016-03-28,NT,1
2016-03-28,Server 2003,3
2016-03-28,Vista,76
2016-03-28,XP,92
2016-03-29,10,1199
2016-03-29,7,4412
2016-03-29,8,38
2016-03-29,8.1,376
2016-03-29,Server 2003,1
2016-03-29,Vista,80
2016-03-29,XP,166
2016-03-30,10,1131
2016-03-30,7,4388
2016-03-30,8,32
2016-03-30,8.1,387
2016-03-30,Server 2003,1
2016-03-30,Vista,63
2016-03-30,XP,197
2016-03-31,10,1034
2016-03-31,2000,1
2016-03-31,7,4212
2016-03-31,8,35
2016-03-31,8.1,378
2016-03-31,Vista,68
2016-03-31,XP,194
2016-04-01,10,917
2016-04-01,7,3516
2016-04-01,8,29
2016-04-01,8.1,316
2016-04-01,Server 2003,1
2016-04-01,Vista,56
2016-04-01,XP,179
2016-04-02,10,721
2016-04-02,7,1620
2016-04-02,8,22
2016-04-02,8.1,246
2016-04-02,Vista,58
2016-04-02,XP,54
2016-04-03,10,721
2016-04-03,7,1113
2016-04-03,8,16
2016-04-03,8.1,263
2016-04-03,Vista,66
2016-04-03,XP,57
2016-04-04,10,1399
2016-04-04,7,4467
2016-04-04,8,27
2016-04-04,8.1,479
2016-04-04,Server 2003,1
2016-04-04,Vista,98
2016-04-04,XP,226
2016-04-05,10,1922
2016-04-05,7,6455
2016-04-05,8,35
2016-04-05,8.1,610
2016-04-05,Server 2003,2
2016-04-05,Vista,117
2016-04-05,XP,238
2016-04-06,(not set),1
2016-04-06,10,1609
2016-04-06,7,6243
2016-04-06,8,40
2016-04-06,8.1,575
2016-04-06,Vista,108
2016-04-06,XP,233
2016-04-07,10,1137
2016-04-07,7,3988
2016-04-07,8,32
2016-04-07,8.1,396
2016-04-07,Vista,77
2016-04-07,XP,187
2016-04-08,10,982
2016-04-08,7,3516
2016-04-08,8,27
2016-04-08,8.1,327
2016-04-08,Server 2003,2
2016-04-08,Vista,70
2016-04-08,XP,164
2016-04-09,10,790
2016-04-09,2000,1
2016-04-09,7,1541
2016-04-09,8,22
2016-04-09,8.1,293
2016-04-09,Vista,68
2016-04-09,XP,47
2016-04-10,10,786
2016-04-10,7,1135
2016-04-10,8,25
2016-04-10,8.1,269
2016-04-10,Server 2003,1
2016-04-10,Vista,66
2016-04-10,XP,31
2016-04-11,10,1177
2016-04-11,7,3967
2016-04-11,8,29
2016-04-11,8.1,438
2016-04-11,Server 2003,2
2016-04-11,Vista,99
2016-04-11,XP,190
2016-04-12,10,1152
2016-04-12,7,4312
2016-04-12,8,30
2016-04-12,8.1,432
2016-04-12,Server 2003,1
2016-04-12,Vista,87
2016-04-12,XP,204
2016-04-13,10,1147
2016-04-13,7,4246
2016-04-13,8,27
2016-04-13,8.1,407
2016-04-13,Server 2003,1
2016-04-13,Vista,92
2016-04-13,XP,178
2016-04-14,10,1065
2016-04-14,7,4253
2016-04-14,8,32
2016-04-14,8.1,373
2016-04-14,Server 2003,1
2016-04-14,Vista,64
2016-04-14,XP,151
2016-04-15,10,1041
2016-04-15,7,3764
2016-04-15,8,20
2016-04-15,8.1,361
2016-04-15,NT,3
2016-04-15,Vista,69
2016-04-15,XP,146
2016-04-16,10,800
2016-04-16,2000,1
2016-04-16,7,1622
2016-04-16,8,22
2016-04-16,8.1,227
2016-04-16,Server 2003,1
2016-04-16,Vista,80
2016-04-16,XP,61
2016-04-17,10,767
2016-04-17,2000,1
2016-04-17,7,1078
2016-04-17,8,29
2016-04-17,8.1,218
2016-04-17,Server 2003,1
2016-04-17,Vista,65
2016-04-17,XP,28
2016-04-18,10,1209
2016-04-18,7,4085
2016-04-18,8,26
2016-04-18,8.1,396
2016-04-18,Server 2003,1
2016-04-18,Vista,83
2016-04-18,XP,150
2016-04-19,10,1213
2016-04-19,7,4401
2016-04-19,8,32
2016-04-19,8.1,368
2016-04-19,Vista,77
2016-04-19,XP,178
2016-04-20,10,1152
2016-04-20,7,4327
2016-04-20,8,34
2016-04-20,8.1,394
2016-04-20,Server 2003,1
2016-04-20,Vista,82
2016-04-20,XP,155
2016-04-21,(not set),1
2016-04-21,10,1014
2016-04-21,7,3831
2016-04-21,8,46
2016-04-21,8.1,404
2016-04-21,Server 2003,1
2016-04-21,Vista,72
2016-04-21,XP,173
2016-04-22,10,959
2016-04-22,7,3527
2016-04-22,8,25
2016-04-22,8.1,321
2016-04-22,Vista,73
2016-04-22,XP,154
2016-04-23,(not set),1
2016-04-23,10,739
2016-04-23,7,1425
2016-04-23,8,23
2016-04-23,8.1,218
2016-04-23,Vista,52
2016-04-23,XP,54
2016-04-24,10,712
2016-04-24,2000,1
2016-04-24,7,1042
2016-04-24,8,16
2016-04-24,8.1,205
2016-04-24,Server 2003,1
2016-04-24,Vista,51
2016-04-24,XP,47
2016-04-25,10,1233
2016-04-25,7,4072
2016-04-25,8,33
2016-04-25,8.1,401
2016-04-25,Vista,66
2016-04-25,XP,146
