date,device,visits
2016-02-23,desktop,7135
2016-02-23,mobile,3319
2016-02-23,tablet,526
2016-02-24,desktop,6949
2016-02-24,mobile,3246
2016-02-24,tablet,493
2016-02-25,desktop,6610
2016-02-25,mobile,3138
2016-02-25,tablet,495
2016-02-26,desktop,5861
2016-02-26,mobile,3269
2016-02-26,tablet,489
2016-02-27,desktop,3392
2016-02-27,mobile,3158
2016-02-27,tablet,498
2016-02-28,desktop,2998
2016-02-28,mobile,2777
2016-02-28,tablet,518
2016-02-29,desktop,7023
2016-02-29,mobile,3347
2016-02-29,tablet,531
2016-03-01,desktop,7468
2016-03-01,mobile,4163
2016-03-01,tablet,529
2016-03-02,desktop,6924
2016-03-02,mobile,3221
2016-03-02,tablet,509
2016-03-03,desktop,6683
2016-03-03,mobile,3089
2016-03-03,tablet,531
2016-03-04,desktop,6253
2016-03-04,mobile,3536
2016-03-04,tablet,482
2016-03-05,desktop,3471
2016-03-05,mobile,3379
2016-03-05,tablet,582
2016-03-06,desktop,2955
2016-03-06,mobile,2781
2016-03-06,tablet,456
2016-03-07,desktop,7166
2016-03-07,mobile,3394
2016-03-07,tablet,571
2016-03-08,desktop,7880
2016-03-08,mobile,3440
2016-03-08,tablet,530
2016-03-09,desktop,6986
2016-03-09,mobile,3139
2016-03-09,tablet,527
2016-03-10,desktop,6868
2016-03-10,mobile,3190
2016-03-10,tablet,446
2016-03-11,desktop,6054
2016-03-11,mobile,3469
2016-03-11,tablet,522
2016-03-12,desktop,3413
2016-03-12,mobile,3333
2016-03-12,tablet,554
2016-03-13,desktop,2839
2016-03-13,mobile,2872
2016-03-13,tablet,502
2016-03-14,desktop,7069
2016-03-14,mobile,3686
2016-03-14,tablet,517
2016-03-15,desktop,7156
2016-03-15,mobile,3451
2016-03-15,tablet,575
2016-03-16,desktop,7081
2016-03-16,mobile,3287
2016-03-16,tablet,537
2016-03-17,desktop,6619
2016-03-17,mobile,3209
2016-03-17,tablet,529
2016-03-18,desktop,5820
2016-03-18,mobile,3201
2016-03-18,tablet,559
2016-03-19,desktop,3338
2016-03-19,mobile,3161
2016-03-19,tablet,559
2016-03-20,desktop,3078
2016-03-20,mobile,2754
2016-03-20,tablet,559
2016-03-21,desktop,6971
2016-03-21,mobile,3580
2016-03-21,tablet,573
2016-03-22,desktop,7580
2016-03-22,mobile,3404
2016-03-22,tablet,538
2016-03-23,desktop,6930
2016-03-23,mobile,3515
2016-03-23,tablet,559
2016-03-24,desktop,6597
2016-03-24,mobile,3414
2016-03-24,tablet,533
2016-03-25,desktop,5722
2016-03-25,mobile,3459
2016-03-25,tablet,522
2016-03-26,desktop,3199
2016-03-26,mobile,3723
2016-03-26,tablet,551
2016-03-27,desktop,2624
2016-03-27,mobile,2629
2016-03-27,tablet,521
2016-03-28,desktop,5918
2016-03-28,mobile,3730
2016-03-28,tablet,681
2016-03-29,desktop,7600
2016-03-29,mobile,3636
2016-03-29,tablet,604
2016-03-30,desktop,7451
2016-03-30,mobile,3389
2016-03-30,tablet,588
2016-03-31,desktop,7098
2016-03-31,mobile,3335
2016-03-31,tablet,557
2016-04-01,desktop,6064
2016-04-01,mobile,3720
2016-04-01,tablet,520
2016-04-02,desktop,3565
2016-04-02,mobile,3548
2016-04-02,tablet,568
2016-04-03,desktop,3135
2016-04-03,mobile,3048
2016-04-03,tablet,574
2016-04-04,desktop,8311
2016-04-04,mobile,4512
2016-04-04,tablet,859
2016-04-05,desktop,11878
2016-04-05,mobile,8488
2016-04-05,tablet,1555
2016-04-06,desktop,11028
2016-04-06,mobile,6483
2016-04-06,tablet,1344
2016-04-07,desktop,6950
2016-04-07,mobile,3655
2016-04-07,tablet,556
2016-04-08,desktop,6163
2016-04-08,mobile,3533
2016-04-08,tablet,577
2016-04-09,desktop,3650
2016-04-09,mobile,3797
2016-04-09,tablet,627
2016-04-10,desktop,3245
2016-04-10,mobile,3107
2016-04-10,tablet,588
2016-04-11,desktop,7202
2016-04-11,mobile,3654
2016-04-11,tablet,526
2016-04-12,desktop,7502
2016-04-12,mobile,3526
2016-04-12,tablet,609
2016-04-13,desktop,7354
2016-04-13,mobile,3429
2016-04-13,tablet,563
2016-04-14,desktop,7093
2016-04-14,mobile,3342
2016-04-14,tablet,571
2016-04-15,desktop,6501
2016-04-15,mobile,3744
2016-04-15,tablet,544
2016-04-16,desktop,3634
2016-04-16,mobile,3996
2016-04-16,tablet,621
2016-04-17,desktop,3016
2016-04-17,mobile,3157
2016-04-17,tablet,610
2016-04-18,desktop,7202
2016-04-18,mobile,3578
2016-04-18,tablet,595
2016-04-19,desktop,7568
2016-04-19,mobile,3456
2016-04-19,tablet,548
2016-04-20,desktop,7437
2016-04-20,mobile,3395
2016-04-20,tablet,518
2016-04-21,desktop,6691
2016-04-21,mobile,3333
2016-04-21,tablet,494
2016-04-22,desktop,6099
2016-04-22,mobile,3407
2016-04-22,tablet,453
2016-04-23,desktop,3342
2016-04-23,mobile,3567
2016-04-23,tablet,563
2016-04-24,desktop,2846
2016-04-24,mobile,3025
2016-04-24,tablet,562
2016-04-25,desktop,7145
2016-04-25,mobile,3607
2016-04-25,tablet,536
